airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Air_India,AI-640,Bangalore,Early_Morning,one,Early_Morning,Chennai,Business,24.74,2,48523
Air_India,AI-523,Bangalore,Early_Morning,one,Afternoon,Mumbai,Economy,9.02,11,21735
Air_India,AI-9891,Hyderabad,Evening,two_or_more,Morning,Mumbai,Economy,16.0,46,7417
Vistara,UK-816,Bangalore,Morning,one,Night,Mumbai,Economy,12.37,43,6544
Vistara,UK-950,Mumbai,Night,one,Evening,Kolkata,Economy,19.98,22,5932
Vistara,UK-870,Hyderabad,Night,one,Evening,Kolkata,Business,21.45,35,51781
Vistara,UK-808,Bangalore,Early_Morning,one,Night,Mumbai,Business,13.85,6,84862
Air_India,AI-762,Delhi,Night,one,Night,Hyderabad,Business,25.07,7,46964
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Kolkata,Business,15.22,39,49166
Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Kolkata,Economy,12.86,16,6050
GO_FIRST,G8-382,Mumbai,Afternoon,one,Late_Night,Delhi,Economy,10.88,29,5923
Vistara,UK-845,Mumbai,Early_Morning,one,Afternoon,Delhi,Business,8.16,42,52810
AirAsia,I5-2461,Chennai,Evening,one,Morning,Delhi,Economy,17.99,23,2427
Vistara,UK-706,Kolkata,Morning,one,Morning,Mumbai,Business,25.02,45,61121
Air_India,AI-768,Kolkata,Afternoon,one,Night,Mumbai,Economy,6.55,32,5532
GO_FIRST,G8-399,Bangalore,Night,zero,Night,Mumbai,Economy,2.04,17,2098
Air_India,AI-430,Chennai,Morning,one,Evening,Hyderabad,Business,9.42,8,51145
Vistara,UK-858,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,6.06,12,10504
Vistara,UK-812,Bangalore,Morning,one,Evening,Kolkata,Economy,8.53,36,8100
Indigo,6E-684,Bangalore,Night,one,Early_Morning,Kolkata,Economy,7.96,29,3935
Vistara,UK-738,Kolkata,Evening,one,Morning,Hyderabad,Business,14.95,49,53826
Air_India,AI-573,Kolkata,Evening,one,Night,Delhi,Business,26.48,35,58749
Vistara,UK-963,Delhi,Morning,one,Night,Chennai,Economy,14.27,22,4951
Vistara,UK-721,Delhi,Afternoon,one,Evening,Bangalore,Economy,27.8,11,16025
Vistara,UK-854,Bangalore,Evening,one,Late_Night,Delhi,Business,5.91,16,57580
Vistara,UK-720,Kolkata,Early_Morning,one,Night,Bangalore,Business,15.56,49,63485
Air_India,AI-805,Delhi,Evening,one,Early_Morning,Chennai,Business,11.2,34,47668
Vistara,UK-810,Bangalore,Early_Morning,one,Night,Chennai,Business,15.76,25,61398
Vistara,UK-830,Hyderabad,Morning,one,Night,Chennai,Business,12.58,13,54456
Vistara,UK-772,Kolkata,Morning,one,Morning,Bangalore,Business,22.58,20,53976
Vistara,UK-874,Hyderabad,Morning,one,Morning,Kolkata,Business,25.13,8,48920
Indigo,6E-487,Kolkata,Morning,zero,Afternoon,Delhi,Economy,2.25,24,4237
Vistara,UK-655,Mumbai,Morning,one,Evening,Delhi,Economy,5.33,25,4694
Air_India,AI-503,Bangalore,Evening,one,Morning,Hyderabad,Business,17.99,48,54171
Vistara,UK-878,Hyderabad,Afternoon,one,Night,Delhi,Economy,7.65,25,5338
Vistara,UK-860,Hyderabad,Early_Morning,one,Afternoon,Mumbai,Business,8.37,20,56776
Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Chennai,Economy,8.24,19,6461
Air_India,AI-840,Hyderabad,Night,one,Evening,Kolkata,Economy,21.02,33,8728
Air_India,AI-669,Mumbai,Morning,one,Evening,Delhi,Business,28.34,17,38489
Indigo,6E-893,Kolkata,Morning,one,Evening,Chennai,Economy,8.37,29,5002
SpiceJet,SG-163,Mumbai,Afternoon,one,Afternoon,Kolkata,Economy,25.24,24,14319
Vistara,UK-832,Chennai,Early_Morning,one,Evening,Bangalore,Business,9.96,43,60496
Vistara,UK-706,Kolkata,Morning,one,Evening,Mumbai,Business,8.75,24,70815
AirAsia,I5-1229,Chennai,Evening,one,Late_Night,Delhi,Economy,9.13,42,2435
Vistara,UK-820,Bangalore,Evening,one,Evening,Hyderabad,Economy,23.2,20,6409
Vistara,UK-893,Bangalore,Evening,one,Night,Mumbai,Economy,3.1,21,4747
AirAsia,I5-1229,Chennai,Evening,one,Night,Mumbai,Economy,4.56,41,1740
Vistara,UK-810,Bangalore,Early_Morning,one,Afternoon,Mumbai,Business,6.98,38,60845
Vistara,UK-822,Chennai,Morning,one,Evening,Delhi,Business,7.12,31,59001
AirAsia,I5-330,Mumbai,Night,one,Afternoon,Bangalore,Economy,13.46,30,2126
Indigo,6E-796,Chennai,Night,one,Morning,Kolkata,Economy,11.07,29,4144
Air_India,AI-732,Kolkata,Afternoon,one,Morning,Bangalore,Economy,22.11,44,5011
Air_India,AI-430,Chennai,Morning,one,Night,Mumbai,Business,12.17,11,48307
GO_FIRST,G8-7543,Bangalore,Afternoon,one,Night,Delhi,Economy,9.68,31,3393
Vistara,UK-772,Kolkata,Morning,one,Evening,Hyderabad,Business,9.68,6,85959
Indigo,6E-503,Bangalore,Morning,zero,Afternoon,Kolkata,Economy,2.33,12,5118
Vistara,UK-778,Kolkata,Afternoon,one,Night,Hyderabad,Business,7.72,40,51287
Air_India,AI-507,Bangalore,Early_Morning,one,Night,Delhi,Economy,16.59,22,3988
Vistara,UK-816,Bangalore,Morning,one,Night,Chennai,Business,8.58,21,60573
Vistara,UK-834,Chennai,Evening,one,Evening,Kolkata,Business,25.1,5,58270
Air_India,AI-636,Delhi,Afternoon,one,Morning,Kolkata,Economy,18.37,31,5079
Air_India,AI-660,Mumbai,Evening,one,Morning,Kolkata,Business,15.32,33,47910
Vistara,UK-864,Bangalore,Evening,one,Night,Hyderabad,Business,25.83,37,37669
Indigo,6E-847,Chennai,Evening,one,Night,Delhi,Economy,5.81,43,3972
Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Chennai,Business,9.06,34,64052
Air_India,AI-569,Chennai,Early_Morning,zero,Morning,Mumbai,Economy,1.64,18,2876
Vistara,UK-816,Bangalore,Morning,one,Night,Chennai,Economy,11.23,17,6436
Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,Business,12.07,4,59160
Vistara,UK-657,Bangalore,Morning,one,Evening,Delhi,Economy,8.14,30,5150
Air_India,AI-401,Delhi,Early_Morning,zero,Morning,Kolkata,Business,2.04,24,27457
Vistara,UK-955,Delhi,Evening,one,Afternoon,Hyderabad,Business,18.44,18,55864
Indigo,6E-5372,Mumbai,Early_Morning,one,Morning,Delhi,Economy,4.34,20,2349
Vistara,UK-849,Mumbai,Evening,one,Night,Delhi,Business,6.29,36,53483
Vistara,UK-849,Mumbai,Evening,one,Night,Delhi,Business,6.31,17,54549
Air_India,AI-773,Kolkata,Evening,one,Early_Morning,Bangalore,Economy,15.07,48,5219
Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Business,26.49,2,81747
Vistara,UK-893,Bangalore,Evening,one,Night,Delhi,Economy,26.56,17,3415
GO_FIRST,G8-305,Mumbai,Early_Morning,zero,Early_Morning,Chennai,Economy,1.75,11,5741
Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Business,13.81,49,80827
Vistara,UK-838,Chennai,Night,one,Evening,Kolkata,Business,20.96,19,55281
Vistara,UK-930,Mumbai,Early_Morning,one,Night,Hyderabad,Business,15.16,15,61808
Vistara,UK-822,Chennai,Morning,one,Night,Delhi,Business,12.37,24,57600
Vistara,UK-738,Kolkata,Evening,one,Evening,Mumbai,Economy,21.84,34,6221
Air_India,AI-541,Hyderabad,Evening,one,Afternoon,Chennai,Business,20.42,17,51065
Vistara,UK-876,Hyderabad,Night,one,Afternoon,Delhi,Business,14.8,44,53171
Air_India,AI-765,Kolkata,Night,one,Evening,Mumbai,Economy,20.38,25,7097
Air_India,AI-767,Delhi,Afternoon,one,Night,Hyderabad,Business,8.97,44,48193
AirAsia,I5-819,Bangalore,Morning,one,Evening,Delhi,Economy,10.51,27,2743
AirAsia,I5-784,Delhi,Evening,one,Night,Bangalore,Economy,4.49,49,3168
Indigo,6E-841,Bangalore,Afternoon,one,Night,Mumbai,Economy,7.45,34,2209
Vistara,UK-876,Hyderabad,Night,zero,Night,Mumbai,Business,1.4,38,18260
Air_India,AI-678,Delhi,Morning,one,Morning,Chennai,Business,25.73,41,46627
GO_FIRST,G8-116,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,15.17,20,4210
Vistara,UK-857,Mumbai,Night,zero,Night,Bangalore,Economy,1.73,34,2135
Vistara,UK-809,Delhi,Evening,zero,Night,Bangalore,Business,2.62,25,32951
Vistara,UK-988,Mumbai,Night,one,Morning,Hyderabad,Economy,12.67,9,10215
Indigo,6E-179,Mumbai,Morning,one,Afternoon,Bangalore,Economy,4.75,24,4811
Vistara,UK-878,Hyderabad,Afternoon,one,Night,Kolkata,Business,9.93,45,81907
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Business,12.55,9,59184
Vistara,UK-820,Bangalore,Evening,one,Afternoon,Hyderabad,Economy,18.7,43,6083
SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.3,27,3630
Air_India,AI-888,Mumbai,Evening,one,Morning,Bangalore,Business,13.85,46,53960
Indigo,6E-5332,Mumbai,Early_Morning,one,Afternoon,Kolkata,Economy,8.25,3,20838
Vistara,UK-776,Kolkata,Evening,one,Early_Morning,Hyderabad,Business,13.86,27,49674
Air_India,AI-774,Mumbai,Night,one,Late_Night,Bangalore,Business,28.82,3,62558
Vistara,UK-818,Bangalore,Evening,one,Morning,Mumbai,Business,16.08,9,67735
Air_India,AI-767,Delhi,Afternoon,one,Night,Hyderabad,Business,9.07,24,46012
Vistara,UK-852,Mumbai,Afternoon,two_or_more,Night,Chennai,Economy,8.08,17,19300
Air_India,AI-9894,Chennai,Morning,one,Morning,Delhi,Economy,24.56,30,3689
Air_India,AI-888,Mumbai,Evening,one,Evening,Hyderabad,Business,24.36,6,48761
Air_India,AI-804,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,13.64,14,9399
Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Business,15.92,5,49858
GO_FIRST,G8-146,Bangalore,Evening,two_or_more,Early_Morning,Kolkata,Economy,15.04,21,5276
Vistara,UK-772,Kolkata,Morning,one,Morning,Bangalore,Business,24.24,19,70784
Air_India,AI-541,Hyderabad,Evening,one,Morning,Bangalore,Business,16.6,20,59537
Vistara,UK-958,Mumbai,Afternoon,one,Evening,Hyderabad,Economy,7.54,19,4249
Indigo,6E-546,Delhi,Afternoon,one,Night,Hyderabad,Economy,8.01,47,2132
Vistara,UK-774,Kolkata,Night,one,Night,Bangalore,Business,26.23,35,50739
Air_India,AI-888,Mumbai,Evening,one,Afternoon,Kolkata,Business,19.4,48,47347
AirAsia,I5-582,Kolkata,Morning,two_or_more,Night,Mumbai,Economy,12.93,24,3751
Air_India,AI-569,Chennai,Early_Morning,one,Afternoon,Kolkata,Economy,29.87,24,5095
Air_India,AI-678,Delhi,Morning,one,Morning,Chennai,Business,25.85,31,44851
Vistara,UK-657,Bangalore,Morning,one,Night,Mumbai,Economy,10.02,15,14433
Indigo,6E-5236,Mumbai,Early_Morning,one,Afternoon,Chennai,Economy,7.49,14,5601
SpiceJet,SG-8938,Delhi,Evening,one,Evening,Bangalore,Economy,23.16,21,4245
AirAsia,I5-972,Hyderabad,Evening,one,Morning,Bangalore,Economy,14.31,16,3296
Air_India,AI-539,Chennai,Evening,one,Morning,Hyderabad,Economy,18.66,33,4043
Air_India,AI-840,Hyderabad,Night,one,Morning,Mumbai,Economy,14.14,13,7609
Vistara,UK-927,Delhi,Morning,one,Night,Bangalore,Business,11.34,20,48101
Vistara,UK-970,Mumbai,Morning,one,Night,Bangalore,Business,13.69,46,73161
Air_India,AI-9518,Hyderabad,Night,one,Morning,Kolkata,Economy,11.34,42,5085
Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Mumbai,Business,9.27,11,55444
Air_India,AI-660,Mumbai,Evening,one,Evening,Kolkata,Business,24.95,33,49099
AirAsia,I5-319,Kolkata,Afternoon,two_or_more,Night,Bangalore,Economy,6.7,39,3783
Vistara,UK-970,Mumbai,Morning,one,Night,Bangalore,Economy,13.79,31,6702
Indigo,6E-6137,Chennai,Morning,one,Afternoon,Hyderabad,Economy,5.22,12,4297
Vistara,UK-820,Bangalore,Evening,one,Evening,Kolkata,Business,24.14,48,60476
Vistara,UK-737,Delhi,Afternoon,one,Night,Mumbai,Business,7.65,14,58031
Air_India,AI-573,Kolkata,Evening,one,Afternoon,Delhi,Business,21.68,10,58480
Vistara,UK-772,Kolkata,Morning,one,Morning,Bangalore,Economy,24.57,46,6572
Air_India,AI-770,Kolkata,Night,one,Evening,Mumbai,Economy,23.49,30,5181
Vistara,UK-816,Bangalore,Morning,one,Evening,Mumbai,Economy,7.68,43,6595
AirAsia,I5-991,Kolkata,Evening,one,Late_Night,Mumbai,Economy,8.26,47,3301
Vistara,UK-954,Mumbai,Early_Morning,one,Evening,Bangalore,Business,12.58,16,55860
Vistara,UK-988,Mumbai,Night,zero,Night,Delhi,Business,2.17,1,42033
Vistara,UK-866,Bangalore,Night,one,Morning,Kolkata,Economy,12.05,20,7060
Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Chennai,Business,12.34,19,52393
Vistara,UK-811,Delhi,Early_Morning,one,Morning,Mumbai,Business,5.4,39,52150
Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,10.89,7,11615
Vistara,UK-877,Mumbai,Morning,one,Afternoon,Delhi,Economy,4.71,45,5166
Vistara,UK-876,Hyderabad,Night,one,Morning,Kolkata,Business,12.02,49,45754
Vistara,UK-954,Mumbai,Early_Morning,one,Evening,Chennai,Economy,10.18,22,4299
Vistara,UK-927,Delhi,Morning,one,Evening,Bangalore,Business,9.88,32,46679
Air_India,AI-672,Chennai,Evening,one,Afternoon,Delhi,Economy,20.18,28,4202
Vistara,UK-994,Mumbai,Morning,one,Evening,Chennai,Business,5.75,9,73629
Vistara,UK-819,Delhi,Afternoon,zero,Evening,Bangalore,Economy,2.75,27,4713
Indigo,6E-6326,Bangalore,Morning,zero,Afternoon,Chennai,Economy,1.34,33,1646
Vistara,UK-828,Chennai,Early_Morning,one,Evening,Kolkata,Business,10.04,49,57663
Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Business,2.37,48,29950
Air_India,AI-633,Mumbai,Early_Morning,one,Afternoon,Delhi,Business,10.01,22,29041
Indigo,6E-7223,Bangalore,Afternoon,one,Evening,Delhi,Economy,5.02,1,17864
Air_India,AI-637,Mumbai,Evening,two_or_more,Morning,Kolkata,Economy,14.43,17,8373
Vistara,UK-838,Chennai,Night,one,Afternoon,Mumbai,Business,15.58,13,62296
Vistara,UK-826,Chennai,Afternoon,one,Night,Delhi,Business,9.73,5,66967
Vistara,UK-838,Chennai,Night,one,Morning,Mumbai,Economy,12.68,7,12194
Air_India,AI-508,Hyderabad,Afternoon,one,Afternoon,Delhi,Business,23.9,14,43084
Air_India,AI-538,Chennai,Night,one,Afternoon,Bangalore,Economy,16.03,4,15579
Vistara,UK-866,Bangalore,Night,one,Night,Hyderabad,Business,23.03,37,37280
GO_FIRST,G8-512,Kolkata,Early_Morning,one,Afternoon,Delhi,Economy,9.86,20,6196
Air_India,AI-766,Chennai,Morning,one,Night,Mumbai,Economy,9.06,17,8171
Vistara,UK-857,Mumbai,Night,zero,Night,Bangalore,Business,1.92,13,21788
Vistara,UK-812,Bangalore,Morning,one,Evening,Mumbai,Business,7.85,30,70434
Vistara,UK-772,Kolkata,Morning,one,Night,Delhi,Business,11.24,11,85869
Vistara,UK-898,Hyderabad,Early_Morning,one,Night,Delhi,Economy,14.72,24,5808
Air_India,AI-763,Kolkata,Early_Morning,one,Night,Mumbai,Business,14.51,8,47920
Indigo,6E-6535,Bangalore,Morning,one,Evening,Delhi,Economy,6.1,39,5855
Vistara,UK-890,Hyderabad,Evening,one,Night,Chennai,Economy,26.45,38,4635
GO_FIRST,G8-7561,Mumbai,Afternoon,one,Night,Hyderabad,Economy,6.6,32,6501
Vistara,UK-836,Chennai,Morning,one,Evening,Mumbai,Business,5.61,25,49930
Vistara,UK-811,Delhi,Early_Morning,one,Morning,Mumbai,Business,5.39,14,53249
Vistara,UK-866,Bangalore,Night,one,Evening,Chennai,Business,22.17,27,44207
Indigo,6E-6067,Bangalore,Evening,one,Night,Mumbai,Economy,4.46,17,4363
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,7.48,49,6217
Air_India,AI-539,Chennai,Evening,zero,Evening,Delhi,Business,2.94,17,27665
Vistara,UK-774,Kolkata,Night,one,Morning,Chennai,Economy,15.14,20,7308
Indigo,6E-6021,Kolkata,Afternoon,one,Night,Mumbai,Economy,9.2,49,10467
Vistara,UK-944,Mumbai,Afternoon,one,Night,Bangalore,Business,7.8,37,69615
GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Kolkata,Economy,7.01,30,4192
Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Kolkata,Business,11.53,30,64343
Vistara,UK-981,Delhi,Night,zero,Night,Mumbai,Economy,2.0,42,2367
Indigo,6E-512,Kolkata,Afternoon,one,Evening,Hyderabad,Economy,4.56,43,4305
Vistara,UK-811,Delhi,Early_Morning,two_or_more,Evening,Kolkata,Business,11.16,41,78361
SpiceJet,SG-3233,Bangalore,Evening,one,Evening,Mumbai,Economy,24.42,49,4453
Air_India,AI-610,Bangalore,Evening,one,Night,Kolkata,Business,28.71,6,49300
Vistara,UK-910,Mumbai,Evening,one,Evening,Chennai,Business,22.72,8,77106
Vistara,UK-826,Chennai,Afternoon,one,Night,Kolkata,Economy,10.29,27,9583
Air_India,AI-770,Kolkata,Night,one,Afternoon,Bangalore,Economy,15.75,7,13504
Vistara,UK-933,Delhi,Afternoon,one,Night,Bangalore,Business,7.14,17,54899
Vistara,UK-850,Bangalore,Evening,one,Morning,Delhi,Business,15.07,6,74635
AirAsia,I5-740,Delhi,Early_Morning,one,Evening,Kolkata,Economy,11.85,17,6194
GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Kolkata,Economy,7.14,13,8808
Indigo,6E-148,Delhi,Early_Morning,one,Morning,Kolkata,Economy,5.11,23,5264
Vistara,UK-834,Chennai,Evening,one,Night,Mumbai,Business,5.53,12,49231
Air_India,AI-636,Delhi,Afternoon,one,Morning,Kolkata,Economy,18.24,2,12641
Air_India,AI-507,Bangalore,Early_Morning,one,Morning,Kolkata,Economy,25.4,35,3965
Vistara,UK-822,Chennai,Morning,one,Evening,Delhi,Economy,8.45,39,5276
Air_India,AI-506,Delhi,Morning,one,Night,Hyderabad,Economy,10.29,29,5865
Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Hyderabad,Economy,12.75,26,6301
Indigo,6E-6098,Delhi,Early_Morning,one,Afternoon,Chennai,Economy,6.4,46,3381
Vistara,UK-850,Bangalore,Evening,one,Night,Hyderabad,Economy,24.82,3,11896
Air_India,AI-424,Kolkata,Afternoon,two_or_more,Night,Delhi,Business,7.51,17,27477
Vistara,UK-706,Kolkata,Morning,one,Evening,Mumbai,Business,8.88,38,56579
Indigo,6E-5368,Mumbai,Night,zero,Night,Chennai,Economy,1.89,34,3077
Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,Business,10.29,17,63411
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Mumbai,Economy,10.82,6,12143
Indigo,6E-6212,Bangalore,Morning,one,Evening,Kolkata,Economy,6.17,36,3638
Vistara,UK-621,Mumbai,Afternoon,one,Evening,Delhi,Economy,27.42,29,4718
Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.51,24,4009
Air_India,AI-9501,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,13.06,19,5200
SpiceJet,SG-8702,Mumbai,Morning,one,Morning,Kolkata,Economy,22.79,1,14058
Vistara,UK-747,Delhi,Early_Morning,zero,Morning,Kolkata,Economy,1.94,35,3910
Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Kolkata,Economy,28.09,44,8017
Vistara,UK-818,Bangalore,Evening,one,Morning,Mumbai,Business,14.01,41,73237
SpiceJet,SG-649,Kolkata,Morning,one,Evening,Delhi,Economy,6.68,46,8254
Air_India,AI-768,Kolkata,Afternoon,one,Night,Hyderabad,Economy,7.96,48,4621
AirAsia,I5-1517,Hyderabad,Evening,one,Late_Night,Delhi,Economy,9.59,42,2204
Air_India,AI-505,Bangalore,Morning,one,Night,Mumbai,Business,11.67,40,53814
Vistara,UK-826,Chennai,Afternoon,one,Night,Delhi,Economy,11.49,23,8457
Vistara,UK-878,Hyderabad,Afternoon,one,Late_Night,Delhi,Business,11.16,31,51840
Vistara,UK-828,Chennai,Early_Morning,one,Early_Morning,Bangalore,Economy,24.68,6,8840
Indigo,6E-5208,Mumbai,Evening,zero,Evening,Hyderabad,Economy,1.44,32,2896
Vistara,UK-819,Delhi,Afternoon,one,Night,Hyderabad,Economy,6.72,27,5824
Air_India,AI-770,Kolkata,Night,one,Afternoon,Bangalore,Business,16.22,11,62528
GO_FIRST,G8-391,Mumbai,Afternoon,one,Night,Hyderabad,Economy,9.4,40,3904
Air_India,AI-430,Chennai,Morning,one,Night,Hyderabad,Business,11.68,20,68683
Air_India,AI-762,Delhi,Night,one,Afternoon,Mumbai,Economy,15.93,46,5208
Air_India,AI-804,Bangalore,Early_Morning,one,Evening,Hyderabad,Business,13.29,8,57657
Vistara,UK-774,Kolkata,Night,one,Night,Bangalore,Business,24.36,37,52766
Air_India,AI-401,Delhi,Early_Morning,one,Night,Hyderabad,Economy,14.54,27,4643
Vistara,UK-981,Delhi,Night,zero,Night,Mumbai,Economy,2.1,28,2586
Vistara,UK-774,Kolkata,Night,one,Early_Morning,Hyderabad,Economy,11.03,37,7345
Vistara,UK-879,Delhi,Evening,one,Night,Mumbai,Business,5.35,36,46464
Vistara,UK-954,Mumbai,Early_Morning,one,Afternoon,Hyderabad,Business,6.42,27,46279
GO_FIRST,G8-113,Delhi,Early_Morning,one,Evening,Kolkata,Economy,10.66,17,5832
Air_India,AI-665,Delhi,Early_Morning,one,Night,Kolkata,Business,15.1,49,52277
Indigo,6E-6172,Kolkata,Night,zero,Late_Night,Hyderabad,Economy,1.94,27,2447
Vistara,UK-808,Bangalore,Early_Morning,zero,Morning,Delhi,Business,2.79,2,32581
Air_India,AI-770,Kolkata,Night,one,Morning,Mumbai,Business,14.88,42,49285
Air_India,AI-806,Mumbai,Early_Morning,one,Late_Night,Bangalore,Economy,16.14,31,6481
Vistara,UK-705,Delhi,Early_Morning,zero,Morning,Kolkata,Economy,1.78,21,3908
Vistara,UK-810,Bangalore,Early_Morning,zero,Morning,Delhi,Business,2.8,24,31294
Vistara,UK-838,Chennai,Night,zero,Night,Delhi,Business,3.01,8,27693
Vistara,UK-824,Chennai,Night,one,Early_Morning,Bangalore,Business,11.2,42,44757
Vistara,UK-981,Delhi,Night,one,Morning,Chennai,Business,14.03,19,60588
Vistara,UK-864,Bangalore,Evening,one,Evening,Chennai,Business,25.05,44,44815
Indigo,6E-345,Kolkata,Morning,zero,Afternoon,Bangalore,Economy,2.64,38,3925
Air_India,AI-888,Mumbai,Evening,one,Night,Chennai,Economy,28.89,48,5697
Vistara,UK-977,Delhi,Evening,one,Morning,Bangalore,Business,13.61,16,55300
Vistara,UK-824,Chennai,Night,one,Afternoon,Hyderabad,Business,15.61,20,40109
Vistara,UK-771,Mumbai,Early_Morning,zero,Morning,Kolkata,Economy,2.85,12,7435
Vistara,UK-940,Mumbai,Evening,one,Evening,Kolkata,Economy,23.99,19,5999
Vistara,UK-810,Bangalore,Early_Morning,one,Night,Chennai,Business,13.14,45,59633
Vistara,UK-933,Delhi,Afternoon,one,Evening,Kolkata,Economy,28.55,18,7076
Vistara,UK-824,Chennai,Night,one,Evening,Bangalore,Business,22.69,8,46265
Vistara,UK-950,Mumbai,Night,one,Morning,Kolkata,Business,10.26,48,70052
Vistara,UK-940,Mumbai,Evening,zero,Night,Delhi,Economy,2.32,31,2485
Vistara,UK-874,Hyderabad,Morning,one,Night,Chennai,Economy,14.43,37,6745
GO_FIRST,G8-119,Delhi,Evening,one,Late_Night,Hyderabad,Economy,5.57,26,5645
Air_India,AI-440,Chennai,Early_Morning,zero,Morning,Delhi,Business,2.98,45,27574
Air_India,AI-503,Bangalore,Evening,one,Evening,Kolkata,Business,25.42,49,58550
Vistara,UK-637,Delhi,Evening,one,Evening,Bangalore,Economy,25.0,36,5827
AirAsia,I5-1426,Bangalore,Afternoon,one,Night,Delhi,Economy,7.15,19,2697
Air_India,AI-639,Mumbai,Morning,one,Night,Delhi,Business,11.02,28,54323
Air_India,AI-543,Hyderabad,Morning,one,Evening,Kolkata,Business,7.99,39,49039
Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Mumbai,Business,13.49,21,48920
GO_FIRST,G8-118,Bangalore,Night,one,Afternoon,Mumbai,Economy,15.29,33,6453
Air_India,AI-440,Chennai,Early_Morning,one,Night,Mumbai,Economy,15.62,8,8956
Vistara,UK-944,Mumbai,Afternoon,one,Night,Kolkata,Business,8.06,35,60860
Vistara,UK-850,Bangalore,Evening,one,Evening,Kolkata,Business,20.77,17,52173
Indigo,6E-236,Mumbai,Evening,one,Late_Night,Kolkata,Economy,7.14,42,2921
SpiceJet,SG-8152,Delhi,Morning,one,Night,Kolkata,Economy,11.17,7,6121
